row,year_film,year_ceremony,ceremony,category,name,film,winner
79,1929,1930,3,ACTOR,Lawrence Tibbett,The Rogue Song,FALSE
80,1929,1930,3,ACTRESS,Nancy Carroll,The Devil's Holiday,FALSE
81,1929,1930,3,ACTRESS,Ruth Chatterton,Sarah and Son,FALSE
82,1929,1930,3,ACTRESS,Greta Garbo,Anna Christie,FALSE
83,1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,TRUE
84,1929,1930,3,ACTRESS,Norma Shearer,Their Own Desire,FALSE
85,1929,1930,3,ACTRESS,Gloria Swanson,The Trespasser,FALSE
86,1929,1930,3,ART DIRECTION,(William Cameron Menzies),Bulldog Drummond,FALSE
87,1929,1930,3,ART DIRECTION,Herman Rosse,King of Jazz,TRUE
88,1929,1930,3,ART DIRECTION,(Hans Dreier),The Love Parade,FALSE
89,1929,1930,3,ART DIRECTION,(Jack Okey),Sally,FALSE
90,1929,1930,3,ART DIRECTION,(Hans Dreier),The Vagabond King,FALSE
91,1929,1930,3,CINEMATOGRAPHY,(Arthur Edeson),All Quiet on the Western Front,FALSE
92,1929,1930,3,CINEMATOGRAPHY,(William Daniels),Anna Christie,FALSE
93,1929,1930,3,CINEMATOGRAPHY,"(Gaetano Gaudio), (Harry Perry)",Hell's Angels,FALSE
94,1929,1930,3,CINEMATOGRAPHY,(Victor Milner),The Love Parade,FALSE
95,1929,1930,3,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,TRUE
96,1929,1930,3,DIRECTING,Clarence Brown,Anna Christie;,FALSE
97,1929,1930,3,DIRECTING,Robert Leonard,The Divorcee,FALSE
98,1929,1930,3,DIRECTING,Ernst Lubitsch,The Love Parade,FALSE
99,1929,1930,3,DIRECTING,Lewis Milestone,All Quiet on the Western Front,TRUE
100,1929,1930,3,DIRECTING,King Vidor,Hallelujah,FALSE
101,1929,1930,3,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,TRUE
102,1929,1930,3,OUTSTANDING PRODUCTION,Cosmopolitan,The Big House,FALSE
103,1929,1930,3,OUTSTANDING PRODUCTION,Warner Bros.,Disraeli,FALSE
104,1929,1930,3,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Divorcee,FALSE
105,1929,1930,3,OUTSTANDING PRODUCTION,Paramount Famous Lasky,The Love Parade,FALSE
106,1929,1930,3,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House,TRUE
107,1929,1930,3,SOUND RECORDING,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",The Case of Sergeant Grischa,FALSE
108,1929,1930,3,SOUND RECORDING,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",The Love Parade,FALSE
109,1929,1930,3,SOUND RECORDING,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",Raffles,FALSE
110,1929,1930,3,SOUND RECORDING,"(First National Studio Sound Department, George Groves, Sound Director)",Song of the Flame,FALSE
111,1929,1930,3,WRITING,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front,FALSE
112,1929,1930,3,WRITING,Frances Marion,The Big House,TRUE
113,1929,1930,3,WRITING,(Julian Josephson),Disraeli,FALSE
114,1929,1930,3,WRITING,(John Meehan),The Divorcee,FALSE
115,1929,1930,3,WRITING,(Howard Estabrook),Street of Chance,FALSE
116,1930,1931,4,ACTOR,Lionel Barrymore,A Free Soul,TRUE
117,1930,1931,4,ACTOR,Jackie Cooper,Skippy,FALSE
118,1930,1931,4,ACTOR,Richard Dix,Cimarron,FALSE
119,1930,1931,4,ACTOR,Fredric March,The Royal Family of Broadway,FALSE
120,1930,1931,4,ACTOR,Adolphe Menjou,The Front Page,FALSE
121,1930,1931,4,ACTRESS,Marlene Dietrich,Morocco,FALSE
122,1930,1931,4,ACTRESS,Marie Dressler,Min and Bill,TRUE
123,1930,1931,4,ACTRESS,Irene Dunne,Cimarron,FALSE
124,1930,1931,4,ACTRESS,Ann Harding,Holiday,FALSE
125,1930,1931,4,ACTRESS,Norma Shearer,A Free Soul,FALSE
126,1930,1931,4,ART DIRECTION,Max Rée,Cimarron,TRUE
127,1930,1931,4,ART DIRECTION,"Stephen Goosson, Ralph Hammeras",Just Imagine,FALSE
128,1930,1931,4,ART DIRECTION,Hans Dreier,Morocco,FALSE
129,1930,1931,4,ART DIRECTION,Anton Grot,Svengali,FALSE
130,1930,1931,4,ART DIRECTION,Richard Day,Whoopee!,FALSE
131,1930,1931,4,CINEMATOGRAPHY,Edward Cronjager,Cimarron,FALSE
132,1930,1931,4,CINEMATOGRAPHY,Lee Garmes,Morocco,FALSE
133,1930,1931,4,CINEMATOGRAPHY,Charles Lang,The Right to Love,FALSE
134,1930,1931,4,CINEMATOGRAPHY,"Barney ""Chick"" McGill",Svengali,FALSE
135,1930,1931,4,CINEMATOGRAPHY,Floyd Crosby,Tabu,TRUE
136,1930,1931,4,DIRECTING,Wesley Ruggles,Cimarron,FALSE
137,1930,1931,4,DIRECTING,Clarence Brown,A Free Soul,FALSE
138,1930,1931,4,DIRECTING,Lewis Milestone,The Front Page,FALSE
139,1930,1931,4,DIRECTING,Josef Von Sternberg,Morocco,FALSE
140,1930,1931,4,DIRECTING,Norman Taurog,Skippy,TRUE
141,1930,1931,4,OUTSTANDING PRODUCTION,RKO Radio,Cimarron,TRUE
142,1930,1931,4,OUTSTANDING PRODUCTION,Fox,East Lynne,FALSE
143,1930,1931,4,OUTSTANDING PRODUCTION,The Caddo Company,The Front Page,FALSE
144,1930,1931,4,OUTSTANDING PRODUCTION,Paramount Publix,Skippy,FALSE
145,1930,1931,4,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Trader Horn,FALSE
146,1930,1931,4,SOUND RECORDING,Samuel Goldwyn - United Artists Studio Sound Department,,FALSE
147,1930,1931,4,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,FALSE
148,1930,1931,4,SOUND RECORDING,Paramount Publix Studio Sound Department,,TRUE
149,1930,1931,4,SOUND RECORDING,RKO Radio Studio Sound Department,,FALSE
150,1930,1931,4,WRITING (Adaptation),Howard Estabrook,Cimarron,TRUE
151,1930,1931,4,WRITING (Adaptation),"Seton I. Miller, Fred Niblo, Jr.",The Criminal Code,FALSE
152,1930,1931,4,WRITING (Adaptation),Horace Jackson,Holiday,FALSE
153,1930,1931,4,WRITING (Adaptation),"Francis Faragoh, Robert N. Lee",Little Caesar,FALSE
154,1930,1931,4,WRITING (Adaptation),"Joseph L. Mankiewicz, Sam Mintz",Skippy,FALSE
155,1930,1931,4,WRITING (Original Story),John Monk Saunders,The Dawn Patrol,TRUE
156,1930,1931,4,WRITING (Original Story),Rowland Brown,The Doorway to Hell,FALSE
157,1930,1931,4,WRITING (Original Story),"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",Laughter,FALSE
158,1930,1931,4,WRITING (Original Story),"John Bright, Kubec Glasmon",The Public Enemy,FALSE
159,1930,1931,4,WRITING (Original Story),"Lucien Hubbard, Joseph Jackson",Smart Money,FALSE
160,1931,1932,5,ACTOR,Wallace Beery,The Champ,TRUE
161,1931,1932,5,ACTOR,Alfred Lunt,The Guardsman,FALSE
162,1931,1932,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,TRUE
163,1931,1932,5,ACTRESS,Marie Dressler,Emma,FALSE
164,1931,1932,5,ACTRESS,Lynn Fontanne,The Guardsman,FALSE
165,1931,1932,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,TRUE
166,1931,1932,5,ART DIRECTION,Lazare Meerson,À Nous la Liberté,FALSE
167,1931,1932,5,ART DIRECTION,Richard Day,Arrowsmith,FALSE
168,1931,1932,5,ART DIRECTION,Gordon Wiles,Transatlantic,TRUE
169,1931,1932,5,CINEMATOGRAPHY,Ray June,Arrowsmith,FALSE
170,1931,1932,5,CINEMATOGRAPHY,Karl Struss,Dr. Jekyll and Mr. Hyde,FALSE
171,1931,1932,5,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,TRUE
172,1931,1932,5,DIRECTING,Frank Borzage,Bad Girl,TRUE
173,1931,1932,5,DIRECTING,King Vidor,The Champ,FALSE
174,1931,1932,5,DIRECTING,Josef Von Sternberg,Shanghai Express,FALSE
175,1931,1932,5,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Arrowsmith,FALSE
176,1931,1932,5,OUTSTANDING PRODUCTION,Fox,Bad Girl,FALSE
177,1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Champ,FALSE
178,1931,1932,5,OUTSTANDING PRODUCTION,First National,Five Star Final,FALSE
